,Farm Index,Arable Index,Pasture Index,Wood Index,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops Net Tax,Straw,Hay,Cheese,Butter,Milk,Wool,Beef,Mutton,Pork,Bacon,Tallow,Eggs,Firewood,Timber
unit,1860-9 = 100,1860-9 = 100,1860-9 = 100,,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./cwt.,s./cwt.,s./load,s./ton,d./lb.,d./lb.,d./gallon,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./doz.,s./100 faggots,d./ft3
index,farm,arable,pasture,wood,arable,arable,arable,arable,arable,arable,arable,arable,arable,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,wood,wood
1692,51.26,55.43,45.32,19.54,4.58,2.8,1.8,1.43,2.35,2.12,-1,69.11,9.42,50.98,2.88,4.61,4.76,7.82,2.63,2.88,9.73,2.59,4.19,4.13,35.97,10.61
1693,59.01,68.97,47.85,21.55,5.71,3.12,2.55,1.69,3.53,2.64,-1,70.5,9.51,45.12,3.21,5.28,4.76,8.96,2.9,3.15,10,2.83,4.36,3.91,36.02,12.9
1694,57.87,65.57,48.64,21.39,5.49,3.12,2.31,1.54,3.53,2.55,-1,77.34,9.51,40.89,3.4,5.07,4.76,9.25,2.85,3.17,12,3.29,4.86,4.44,36.14,12.65
1695,55.2,57.09,51.41,21.35,4.45,2.86,2.05,1.42,3,2.75,-1,112.44,8.55,48.84,3.37,4.97,4.76,9.82,3.03,3.41,12,3.45,4.98,4.86,36.03,12.65
1696,59.86,65.64,52.4,22.13,5.42,2.6,2.17,1.57,3.42,3.02,-1,179.54,9.37,54.95,3.33,5.08,4.76,10.96,3.02,3.35,12,3.34,4.81,4.25,38.52,12.72
1697,59.81,69.42,49.4,21,6.13,4.17,2.29,1.32,3.36,2.6,-1,203.59,9.38,51.28,3.33,4.94,4.14,10.48,2.97,2.97,-1,3.41,4.01,4.27,37.73,11.69
1698,65.28,79.95,51.78,20.6,6.84,4.56,2.75,1.7,3.83,2.93,-1,240.82,9.91,52.07,3.55,4.96,4.14,11.53,3,3.15,-1,3.62,4.58,5.3,40.67,10.43
1699,63.34,75.21,51.68,20.83,5.78,3.12,2.86,1.54,3.77,2.87,-1,208.85,13.36,52.92,3.52,4.87,4.76,10.87,2.97,3.15,10,3.6,4.49,5.3,36.7,11.82
1700,55.86,59.41,49.84,22.28,4.26,2.86,2.2,1.68,3.72,2.62,-1,115.9,10.27,53.72,2.88,4.6,4.76,10.01,2.82,3.03,10,3.66,4.81,5.3,36.57,13.57
1701,48.96,47.19,49.29,19.7,3.43,2.08,1.8,1.32,2.39,1.64,-1,68.34,8.69,52.54,2.63,4.53,4.76,10.29,2.94,3.06,9.78,3.54,4.71,4.56,34.64,11.2
1702,49.19,45.75,51.32,20.53,2.95,1.96,1.83,1.42,2.81,1.94,-1,113.56,9.13,53.42,3,4.74,5.84,10.39,2.88,3.09,-1,3.35,4.99,4.46,35.65,11.82
1703,46.85,44.28,47.25,20.63,2.91,1.96,1.7,1.34,2.32,1.94,-1,88.31,10.05,56.9,2.78,4.63,4.26,9.05,2.84,2.79,8.5,3.03,4.57,4.07,39.16,10.87
1704,48.5,50.64,44.1,19.69,3.68,-1,1.81,1.35,2.58,2.02,-1,72.81,11.24,40.07,2.75,4.13,4.26,10.39,2.72,2.76,8.5,2.85,4.23,4.01,36.11,10.73
1705,44.87,45.27,42.5,18.35,3.03,-1,1.65,1.42,2.51,1.96,-1,147.66,9.17,40.96,2.42,3.97,4.39,-1,2.72,2.64,8.5,2.9,4.06,4.24,37.06,9.09
1706,46.77,47.32,45.05,17.65,2.87,-1,1.94,1.64,3.23,2.09,-1,110.63,9.91,47.39,2.72,4.77,4.26,9.34,2.74,2.61,8.5,2.83,4.22,4.42,31.19,9.98
1707,45.64,46.39,42.7,18.9,2.96,2.08,2.05,1.29,2.56,2.14,-1,109.04,8.95,49.66,2.29,4.34,4.26,7.53,2.7,2.49,8.5,2.77,3.97,4.42,32.15,11.12
1708,50.18,56.41,42.49,18.71,3.87,2.88,2.31,1.6,2.36,2.51,-1,98.79,10.17,47.15,2.36,4.09,4.08,7.05,2.77,2.64,9,2.96,3.85,4.42,34.2,10.24
1709,58.13,74.34,43.02,19.49,6.62,5.21,2.69,1.59,3.62,2.16,-1,97.79,8.45,44.22,2.66,4.38,4.08,6,2.78,2.64,9,3.32,4.48,4.25,34.44,11.03
1710,61.32,78.62,45.3,20.45,6.9,3.86,2.9,1.56,4.17,2.41,-1,143.93,9.51,40.79,2.97,4.56,4.26,6.77,2.81,2.76,9,4.35,4.62,4.25,38.35,10.91
1711,56.93,64.92,48.07,19.99,4.76,3.5,2.64,1.55,3.87,2.44,-1,120.34,10.35,44.4,3.92,5.74,4.26,5.91,2.88,2.94,9,4.29,4.42,5.56,36.32,11
1712,52.72,56.67,46.08,21.66,4.11,2.84,2.21,1.64,3.49,2.29,-1,71.47,9.07,45.46,2.85,4.56,4.08,-1,2.88,2.91,9,3.26,4.2,4.42,38.03,12.33
1713,52.36,56.48,46.06,20.6,4.36,3.33,2.03,1.47,3.02,2.01,-1,89.11,9.04,55.96,2.66,4.29,4.26,7.53,2.93,2.73,9,3.18,4.47,4.37,38.44,11.03
1714,55.71,65.51,44.68,20.6,5.18,3.38,2.38,1.51,3.13,2.51,-1,147.43,9.98,56.63,2.54,3.79,4.26,8.39,2.95,2.55,9,2.9,3.96,3.93,36.63,11.59
1715,50.73,55.34,43.97,20.01,3.66,2.82,2.44,1.42,3.36,2.76,-1,167.4,8.9,51.91,2.42,3.42,4.26,7.72,2.96,2.79,9,2.93,4.16,4.55,36.93,10.84
1716,52.55,57.67,46.56,18.44,4.34,2.64,2.19,1.41,2.85,2.41,-1,146.74,8.9,62.82,2.66,3.85,4.26,7.63,2.94,2.79,9,3.11,4.38,4.88,34.58,9.83
1717,51.27,55.5,45.69,18.82,4.13,2.76,2.07,1.37,2.63,2.17,-1,138.32,9.39,46.63,2.57,4.14,4.17,8.29,3.05,3,9,3.08,4.6,4.73,33.43,10.59
1718,49.09,50.57,46.12,18.71,3.63,2.47,1.93,1.35,2.58,2.09,-1,91.26,9.26,46.36,2.54,4.14,4.26,10.1,2.9,2.94,9,3.07,4.51,4.86,32.69,10.7
1719,49.75,51.22,46.55,19.29,3.27,2.29,2.27,1.42,2.63,2.22,-1,154.67,9.39,52.18,2.6,3.91,4.36,11.34,2.83,2.82,8,2.91,4.37,4.71,34.18,10.89
1720,54.61,59.72,48.27,19.7,3.95,2.68,2.7,1.62,3.48,2.74,-1,93.28,10.59,61.37,2.66,4.01,4.56,9.25,3.11,2.82,8,3.27,4.36,4.82,33.54,11.57
1721,50.91,53.98,46.56,18.7,3.69,2.27,2.32,1.4,2.66,2.23,-1,75.72,10.72,49.68,2.85,4.07,4.56,8.86,2.81,2.79,8.5,3.55,4.32,4.61,31,11.28
1722,46.22,47.3,42.64,19.58,3.46,2.15,1.86,1.25,2.45,1.86,-1,50.97,8.72,39.01,2.72,4.05,4.56,6.96,2.67,2.76,8.5,2.93,4.5,4.61,33.71,11.38
1723,47.11,49.8,42.22,19.03,3.7,2.76,1.94,1.28,3.09,2.11,-1,89.35,7.27,42.06,2.6,3.92,4.56,7.91,2.62,2.7,8.5,2.55,3.98,4.61,33.51,10.81
1724,50.39,54.85,44.1,19.33,3.54,2.84,2.38,1.63,3.47,2.52,-1,101.71,9.77,52.01,2.57,4.09,4.6,7.15,2.86,2.76,8.5,2.53,4.21,4.61,33.9,11.03
1725,52.44,58.3,44.86,19.83,4.26,3.21,2.32,1.43,3.45,2.42,-1,103.75,9.54,51.71,2.72,4.4,4.54,6.1,2.8,2.79,8.5,3.49,3.94,4.54,33.71,11.67
1726,53.95,61.37,44.57,20.93,4.79,3.39,2.33,1.37,3.09,2.5,-1,136.69,9.15,40.57,2.72,4.47,4.53,7.05,2.89,2.91,8.75,3.49,4.16,4.54,36.31,12.07
1727,53.36,59.86,45.67,19.26,4.3,3.73,2.52,1.37,3.23,2.2,-1,69.63,11.49,50.5,2.78,4.58,4.54,6.77,2.83,2.85,8.75,3.22,4.39,4.54,36,10.3
1728,59.91,74.2,46.02,20.31,5.81,4.44,3.26,1.66,3.27,2.66,-1,65.84,10.13,52.65,2.72,4.42,4.52,6.77,2.92,3.03,8.75,3.08,4.36,4.54,35.25,11.71
1729,58.25,67.24,48.38,20.54,4.87,3.53,2.92,1.81,3.37,2.73,-1,63.04,10.13,51.02,2.97,4.76,4.53,7.82,3.11,3.03,8.75,3.7,4.32,4.54,36.43,11.59
1730,49.31,51.83,44.61,19.74,3.57,2.49,2.14,1.43,2.73,2.39,-1,57.8,10.13,35.43,2.91,4.81,4.52,6.86,3.1,3.06,9,3.06,4.54,4.61,36.1,10.79
1731,48.39,48.53,46.17,19.79,3.11,2.3,2.16,1.34,2.52,2.38,-1,83.98,9.64,47.28,2.69,4.78,4.19,8.39,2.98,3,9,2.85,4.55,4.61,35.65,10.99
1732,46.32,44.8,46.76,18.14,2.56,2.11,2.05,1.36,2.48,2.24,-1,140.63,10.65,66.22,2.69,4.57,4.19,7.72,2.92,2.79,9,2.52,4.4,4.72,35.3,9.32
1733,45.93,45.39,44.07,19.77,2.87,2.19,1.93,1.27,2.23,2.19,-1,163.94,8.7,52.83,2.51,4.3,4.19,8.1,2.68,2.64,9.23,2.62,4.21,4.72,34.62,11.29
1734,47.4,50.45,41.85,19.65,3.6,2.78,1.92,1.33,2.49,2.21,-1,122.25,8.7,43.17,2.54,4.31,4.19,7.91,2.61,2.52,8.27,2.5,3.96,4.72,36.38,10.62
1735,49.57,56.06,41.72,18.39,4.24,3.3,1.95,1.46,2.61,2.24,2.52,114.26,9.82,47.43,2.36,4.36,4.34,7.63,2.54,2.49,9.41,2.41,3.68,4.72,31.44,10.76
1736,49.74,55.56,42.01,19.33,4.11,2.9,2.09,1.51,2.57,2.12,-1,109.76,8.88,46.93,2.39,4.34,4.34,6.2,2.8,2.67,9.16,2.58,3.69,4.72,35.14,10.63
1737,49.74,53.61,44.18,18.92,3.51,2.68,2.27,1.62,2.78,2.61,-1,144.46,8.7,54.08,2.57,4.59,4.34,6.48,2.74,2.64,9.23,2.66,4.55,4.72,33.29,10.76
1738,48.34,51.14,43.98,18.31,3.29,2.52,2.15,1.53,3.08,2.58,-1,88.23,10.04,57.98,2.54,4.55,4.34,5.91,2.79,2.67,9,2.96,3.59,4.54,33.29,10.08
1739,47.62,50.9,43.01,17.64,3.65,2.56,2.05,1.33,2.63,2.31,-1,56.55,9.39,49.3,2.66,4.45,4.34,5.72,2.81,2.64,8.43,2.88,4.07,4.32,33.29,9.35
1740,56.54,65.6,47.5,18.58,5.02,3.97,2.48,1.77,3.09,2.66,-1,74.39,10.04,76.69,2.72,4.69,4.34,5.72,3.03,2.79,8.63,3.07,4.2,4.32,35.02,9.86
1741,57.54,66.18,49.16,18.47,5.08,3.27,2.4,1.8,3.92,3.01,-1,70.37,10.85,60.34,3.18,5.55,4.34,5.62,3.42,2.97,9,3.54,4.37,4.46,34.94,9.76
1742,51.52,51.44,50.91,18.74,3.24,2.29,2.43,1.57,2.66,2.56,-1,63.3,9.39,76.69,3.27,5.6,4.29,5.91,3.28,2.88,9,3.51,4.52,4.46,34.94,10.05
1743,46.42,44.73,46.51,19.08,2.67,1.91,2.01,1.47,2.45,2.06,-1,63.23,10.38,54.78,2.72,5.01,4.19,7.15,3.06,2.85,9,2.98,4.32,4.27,33.27,10.94
1744,43.66,41.69,44.58,17.41,2.58,1.81,1.84,1.25,1.99,1.91,-1,83.99,9.05,52.83,2.51,4.5,4.1,7.63,2.84,2.73,9,2.68,4.42,4.41,32.44,9.35
